tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude
5610,4560,W 6TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,4500,W 6TH AV,WEST POINT GREY,EVEN,2,4,Y,1996-12-11,-123.21064,49.26726
5916,2050,W 1ST AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,b,2000,W 1ST AV,KITSILANO,EVEN,1,3,Y,2009-12-03,NA,NA
6018,1980,W 1ST AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,b,1900,W 1ST AV,KITSILANO,EVEN,1,3,Y,2009-12-02,-123.149434,49.270658
6487,425,N BOUNDARY ROAD,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,400,N BOUNDARY ROAD,HASTINGS-SUNRISE,ODD,1,3,Y,2009-01-23,-123.02358,49.289014
6498,385,N BOUNDARY ROAD,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,300,N BOUNDARY ROAD,HASTINGS-SUNRISE,ODD,1,3,Y,2009-01-23,-123.023595,49.288417
6506,345,N BOUNDARY ROAD,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,300,N BOUNDARY ROAD,HASTINGS-SUNRISE,ODD,1,4,Y,2009-01-26,-123.023599,49.288011
6514,225,N BOUNDARY ROAD,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,200,N BOUNDARY ROAD,HASTINGS-SUNRISE,ODD,1,3,Y,2008-12-02,-123.023619,49.286978
6880,3191,W 7TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2200,TRUTCH ST,KITSILANO,EVEN,2,3,Y,1993-04-08,-123.17577,49.26618
84879,1128,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,1100,W 37TH AV,SHAUGHNESSY,EVEN,1,4,Y,2012-02-20,-123.130729,49.237697
103633,3285,KITCHENER ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,Y,6,3200,KITCHENER ST,HASTINGS-SUNRISE,ODD,1,3,Y,2008-02-12,NA,NA
103673,2004,E PENDER ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2000,E PENDER ST,GRANDVIEW-WOODLAND,EVEN,2,5,Y,1997-02-17,-123.063348,49.280164
105935,5294,PRINCE EDWARD ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,5200,PRINCE EDWARD ST,RILEY PARK,EVEN,2,6.5,Y,1994-01-05,-123.096967,49.237292
97277,3164,BLENHEIM ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,Y,5,3100,BLENHEIM ST,KITSILANO,EVEN,1,3,Y,2008-02-07,-123.17798,49.2582
97775,8131,MONTCALM ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,8100,MONTCALM ST,MARPOLE,ODD,2,11.5,N,NA,-123.135724,49.212053
100243,3698,CAMBRIDGE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,100,N BOUNDARY ROAD,HASTINGS-SUNRISE,ODD,1,4,Y,2008-12-02,-123.02363,49.286411
109927,2465,W 1ST AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,2400,W 1ST AV,KITSILANO,ODD,1,3,Y,2009-12-03,-123.161285,49.270981
93919,9040,SHAUGHNESSY ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,9000,SHAUGHNESSY ST,MARPOLE,EVEN,2,2,N,NA,-123.126513,49.202778
94993,6550,MARINE CRESCENT,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,Y,9,6500,MARINE CRESCENT,KERRISDALE,EVEN,2,5,Y,2005-01-26,-123.163696,49.226614
96565,4820,LAUREL ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,N,N,4800,LAUREL ST,SOUTH CAMBIE,EVEN,1,3,N,2018-03-23,NA,NA
101598,5942,ONTARIO ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,5900,ONTARIO ST,SUNSET,EVEN,1,4,Y,1993-11-03,-123.105654,49.230869
101662,6450,ONTARIO ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,10,6400,ONTARIO ST,SUNSET,EVEN,2,5.25,Y,2003-02-18,-123.105856,49.226208
19122,4868,CARNARVON ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,4800,CARNARVON ST,DUNBAR-SOUTHLANDS,EVEN,1,3,Y,2016-03-18,NA,NA
42597,3488,COLLINGWOOD ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,N,3,3400,COLLINGWOOD ST,DUNBAR-SOUTHLANDS,EVEN,1,3,Y,2018-03-06,NA,NA
43139,5510,PRINCE EDWARD ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,Y,N,5500,PRINCE EDWARD ST,RILEY PARK,EVEN,1,4,Y,2007-04-20,-123.097048,49.235233
53599,703,W 69TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,N,700,W 69TH AV,MARPOLE,ODD,2,4,Y,NA,-123.120682,49.209372
55576,1598,ANGUS DRIVE,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,10,1500,ANGUS DRIVE,SHAUGHNESSY,EVEN,2,6,Y,NA,-123.141326,49.254161
55577,1598,ANGUS DRIVE,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,10,1500,ANGUS DRIVE,SHAUGHNESSY,EVEN,2,7.5,Y,NA,-123.141476,49.254158
51746,1384,E 62ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1300,E 62ND AV,SUNSET,EVEN,2,3.25,Y,2002-01-07,-123.078066,49.213717
